country,happiness
Afghanistan,3.982854605
Albania,4.606650829
Argentina,6.69713068
Armenia,4.34831953
Australia,7.309060574
Austria,7.07644701
Azerbaijan,5.146774769
Bahrain,6.00737524
Bangladesh,4.633473873
Belarus,5.718907833
Belgium,6.904219151
Benin,3.624664307
Bhutan,5.082128525
Bolivia,5.834329128
Bosnia and Herzegovina,5.117177963
Botswana,3.761964798
Brazil,6.546896935
Bulgaria,4.865401268
Burkina Faso,4.418930054
Cambodia,4.162164688
Cameroon,5.037964821
Canada,7.412772655
Chad,4.322675228
Chile,6.532749653
China,5.303877831
Colombia,6.387571812
"Congo, Rep.",4.690830231
"Congo, Dem. Rep.",3.902741671
Costa Rica,6.854004383
Croatia,5.205438137
Cyprus,5.439161301
Czech Republic,6.608017445
Denmark,7.514424801
Dominican Republic,5.061862469
Ecuador,5.964075089
Egypt,4.762538433
El Salvador,6.018496037
Estonia,5.628908634
Ethiopia,4.573154926
Finland,7.447925568
France,6.357625008
Gabon,4.66101265
Georgia,4.121940613
Germany,7.037137508
Ghana,3.985916138
Greece,5.622519016
Guatemala,6.464986801
Guinea,3.504693508
Haiti,3.569762468
Honduras,4.845436573
Hungary,5.34438324
Iceland,7.498070717
India,4.342079163
Indonesia,5.04279995
Iran,4.749955654
Iraq,4.493377209
Ireland,6.830125332
Israel,7.07941103
Italy,5.847683907
Ivory Coast,4.445038795
Japan,5.879684448
Jordan,5.404593468
Kazakhstan,5.949995041
Kenya,4.357617855
Kosovo,5.077460766
Kuwait,6.146031857
Kyrgyz Republic,4.905375957
Latvia,5.880597591
Lebanon,5.171971321
Liberia,2.701591253
Libya,5.615404606
Lithuania,5.711378098
Luxembourg,6.701571465
"Macedonia, FYR",4.975589752
Madagascar,3.592514038
Malawi,3.86763835
Malaysia,6.322121143
Mali,4.582098484
Malta,6.61339426
Mauritania,3.922664165
Mexico,6.236287117
Moldova,6.017472267
Mongolia,4.982719898
Montenegro,5.124921322
Morocco,5.163156986
Mozambique,4.549767494
Myanmar,4.223846436
Nepal,4.812436581
Netherlands,7.324437141
New Zealand,7.418120861
Nicaragua,5.924112797
Niger,3.671453714
Nigeria,4.932914734
North Cyprus,5.842550278
Norway,7.603433609
Pakistan,4.823194981
Palestine,4.695239067
Panama,6.605550289
Paraguay,5.559724331
Peru,5.577263355
Philippines,5.547489166
Poland,6.007021904
Portugal,5.080866337
Qatar,6.374529362
Romania,5.777491093
Russia,5.995538712
Rwanda,3.483108997
Saudi Arabia,6.345491886
Senegal,4.61700058
Serbia,5.317685127
Sierra Leone,4.908617973
Singapore,6.619524956
Slovak Republic,6.162004471
Slovenia,5.740642071
Somalia,5.353644848
South Africa,4.887325764
South Korea,5.780211449
South Sudan,4.070771217
Spain,6.380663395
Sri Lanka,4.611606598
Sweden,7.28892231
Switzerland,7.572136879
Syria,3.46191287
Taiwan Province of China,6.450088024
Tajikistan,5.124210835
Tanzania,3.660597324
Thailand,6.201762676
Togo,3.768301964
Tunisia,5.131611824
Turkey,5.514465332
Turkmenistan,5.791460037
Uganda,4.237686634
Ukraine,3.964542866
United Arab Emirates,6.568397522
United Kingdom,6.515445232
United States,6.863946915
Uruguay,6.628080368
Uzbekistan,5.972364426
Venezuela,5.568800449
Vietnam,5.076315403
Yemen,2.982673883
Zambia,4.843164444
Zimbabwe,3.70319128
