country,gdp_usd,population
Afghanistan,19362969582,37172386
Albania,15058879129,2866376
Argentina,5.18475E+11,44494502
Armenia,12433089919,2951776
Australia,1.4322E+12,24992369
Austria,4.55737E+11,8847037
Azerbaijan,46939529412,9942334
Bahrain,37746196809,1569439
Bangladesh,2.74025E+11,161356039
Belarus,59662495092,9485386
Belgium,5.31767E+11,11422068
Benin,10358985583,11485048
Bhutan,2534965163,754394
Bolivia,40287647757,11353142
Bosnia and Herzegovina,19781776101,3323929
Botswana,18616018903,2254126
Brazil,1.86863E+12,209469333
Bulgaria,65132951116,7024216
Burkina Faso,14441763759,19751535
Cambodia,24571753583,16249798
Cameroon,38502059858,25216237
Canada,1.70933E+12,37058856
Chad,11302544205,15477751
Chile,2.98231E+11,18729160
China,1.36082E+13,1392730000
Colombia,3.30228E+11,49648685
"Congo, Dem. Rep.",47227535291,84068091
"Congo, Rep.",11263682694,5244363
Costa Rica,60126014829,4999441
Croatia,60805659436,4089400
Cyprus,24469841832,1189265
Czech Republic,2.44105E+11,10625695
Denmark,3.513E+11,5797446
Dominican Republic,81298585403,10627165
Ecuador,1.08398E+11,17084357
El Salvador,26056950000,6420744
Estonia,30284890757,1320884
Ethiopia,84355462494,109224559
Finland,2.75683E+11,5518050
France,2.77754E+12,66987244
Gabon,17017401832,2119275
Georgia,16209818081,3731000
Germany,3.99676E+12,82927922
Ghana,65556464056,29767108
Greece,2.18032E+11,10727668
Guatemala,78460447920,17247807
Guinea,10989790256,12414318
Haiti,9658084644,11123176
Honduras,23803230473,9587522
Hungary,1.55703E+11,9768785
Iceland,25878475760,353574
India,2.72632E+12,1352617328
Indonesia,1.04217E+12,267663435
Iraq,2.25914E+11,38433600
Ireland,3.75903E+11,4853506
Israel,3.6969E+11,8883800
Italy,2.0739E+12,60431283
Japan,4.97092E+12,126529100
Jordan,42290832158,9956011
Kazakhstan,1.70539E+11,18276499
Kenya,87908262520,51393010
Kosovo,7900268736,1845300
Kuwait,1.41678E+11,4137309
Kyrgyz Republic,8092836609,6315800
Latvia,34849078086,1926542
Lebanon,56639155556,6848925
Liberia,3249000000,4818977
Libya,48319620013,6678567
Lithuania,53251369047,2789533
Luxembourg,69487922619,607728
Madagascar,12100459087,26262368
Malawi,7064971176,18143315
Malaysia,3.54348E+11,31528585
Mali,17196688920,19077690
Malta,14542039605,483530
Mauritania,5365868725,4403319
Mexico,1.22381E+12,126190788
Moldova,11309082555,3545883
Mongolia,13009574621,3170208
Montenegro,5452173041,622345
Morocco,1.18495E+11,36029138
Mozambique,14457964381,29495962
Myanmar,71214803378,53708395
Nepal,28812491892,28087871
Netherlands,9.12872E+11,17231017
New Zealand,2.05025E+11,4885500
Nicaragua,13117859222,6465513
Niger,9239513530,22442948
Nigeria,3.9727E+11,195874740
Norway,4.34751E+11,5314336
Pakistan,3.1257E+11,212215030
Panama,65055100000,4176873
Paraguay,40842341774,6956071
Peru,2.22238E+11,31989256
Philippines,3.3091E+11,106651922
Poland,5.85783E+11,37978548
Portugal,2.37979E+11,10281762
Qatar,1.92009E+11,2781677
Romania,2.39553E+11,19473936
Rwanda,9509003197,12301939
Saudi Arabia,7.82483E+11,33699947
Senegal,24129599552,15854360
Serbia,50508366850,6982084
Sierra Leone,3999945202,7650154
Singapore,3.64157E+11,5638676
Slovak Republic,1.06472E+11,5447011
Slovenia,54235484383,2067372
Somalia,7484000000,15008154
South Africa,3.66298E+11,57779622
Spain,1.42619E+12,46723749
Sri Lanka,88900770858,21670000
Sweden,5.51032E+11,10183175
Switzerland,7.05501E+11,8516543
Tajikistan,7522947810,9100837
Tanzania,57437073927,56318348
Thailand,5.04993E+11,69428524
Togo,5300214337,7889094
Tunisia,39860715814,11565204
Turkey,7.66509E+11,82319724
Turkmenistan,40761142857,5850908
Uganda,27476945526,42723139
Ukraine,1.30832E+11,44622516
United Arab Emirates,4.14179E+11,9630959
United Kingdom,2.82521E+12,66488991
United States,2.04941E+13,327167434
Uruguay,59596885024,3449299
Uzbekistan,50499920318,32955400
Vietnam,2.44948E+11,95540395
Zambia,26720073436,17351822
Zimbabwe,31000519447,14439018
