borough,property_type,timestamp_of_call
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 16:48
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 22:20
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 09:51
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 00:28
Barking And dagenham,House - single occupancy,01/01/2017 13:33
Bexley,Converted Flat/Maisonette - Up to 2 storeys,01/01/2017 08:30
Bexley,House - single occupancy,01/01/2017 15:44
Sutton,Converted Flat/Maisonette - Up to 2 storeys,01/01/2017 12:48
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 00:29
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 22:18
Haringey,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/01/2017 20:22
Wandsworth,Converted Flat/Maisonette - Up to 2 storeys,01/01/2017 14:48
Sutton,House - single occupancy,01/01/2017 16:53
Lewisham,House - single occupancy,01/01/2017 15:21
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/01/2017 12:51
Bexley,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/01/2017 18:03
Richmond Upon thames,House - single occupancy,01/01/2017 19:11
Brent,Purpose Built Flats/Maisonettes - 10 or more storeys,01/01/2017 21:58
Newham,House - single occupancy,01/01/2017 16:20
Haringey,Converted Flat/Maisonettes - 3 or more storeys,01/01/2017 20:58
Ealing,Self contained Sheltered Housing,01/01/2017 11:53
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 19:17
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 07:06
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/01/2017 16:06
Lewisham,Unlicensed House in Multiple Occupation - Up to 2 storeys,01/01/2017 04:58
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 19:05
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/01/2017 23:29
Greenwich,Purpose Built Flats/Maisonettes - 10 or more storeys,02/01/2017 08:42
Hammersmith And fulham,Converted Flat/Maisonette - Up to 2 storeys,02/01/2017 19:25
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/01/2017 17:42
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/01/2017 22:24
Hackney,House - single occupancy,02/01/2017 18:35
Barnet,House - single occupancy,02/01/2017 14:07
Hackney,House - single occupancy,02/01/2017 03:50
Bexley,House - single occupancy,02/01/2017 20:40
Greenwich,House in Multiple Occupation - 3 or more storeys (not known if licensed),02/01/2017 17:35
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,02/01/2017 19:21
Croydon,House - single occupancy,02/01/2017 17:50
Hillingdon,House - single occupancy,02/01/2017 12:55
