country,happiness,income,lifeexp,sanitation,water,urbanpopulation,unemployment,literacy,inequality,murder,energy,childmortality,fertility,hiv,foodsupply,population
Afghanistan,3.9828546047210693,1750.0,57.9,39.2,63.0,11.0,,39.0,,,,73.2,4.8,5800.0,2090.0,33700000
Albania,4.6066508293151855,11000.0,77.6,97.7,91.4,,6.09,96.8,29.0,2.3,808.0,14.0,1.71,,3190.0,2920000
Argentina,6.6971306800842285,19100.0,76.5,94.8,99.6,43.1,0.856,97.9,41.4,4.65,2020.0,11.6,2.31,95000.0,3230.0,43400000
Armenia,4.3483195304870605,8180.0,75.4,91.6,98.9,36.7,7.11,99.6,32.4,1.12,1020.0,14.0,1.66,3600.0,2930.0,2920000
Australia,7.309060573577881,43800.0,82.6,100.0,100.0,60.2,1.24,,34.7,1.11,5480.0,3.8,1.86,22000.0,3280.0,23800000
Austria,7.076447010040283,44100.0,81.4,100.0,100.0,21.2,1.43,,30.5,0.508,3800.0,3.6,1.49,18000.0,3770.0,8680000
Azerbaijan,5.146774768829346,16700.0,71.8,89.3,84.4,22.9,2.21,99.8,16.6,0.231,1500.0,32.0,2.09,6700.0,3120.0,9620000
Bahrain,6.007375240325928,44500.0,76.8,100.0,100.0,,,94.6,,0.521,10600.0,7.7,2.05,,,1370000
Bangladesh,4.633473873138428,3130.0,72.4,46.9,97.3,13.7,0.9690000000000001,57.7,32.1,,222.0,36.3,2.13,7700.0,2450.0,161000000
Belarus,5.718907833099365,17200.0,73.3,94.3,98.0,20.5,,99.6,26.7,10.1,2930.0,4.0,1.69,20000.0,3250.0,9490000
Belgium,6.904219150543213,41700.0,80.9,99.5,100.0,26.8,2.46,,27.7,0.978,4690.0,4.0,1.79,20000.0,3730.0,11300000
Benin,3.624664306640625,1990.0,63.9,13.9,67.0,,,28.7,47.8,,417.0,100.0,5.05,64000.0,2620.0,10600000
Bhutan,5.082128524780273,7740.0,73.8,62.9,97.6,,0.767,52.8,38.8,,355.0,33.6,2.09,1300.0,,787000
Bolivia,5.834329128265381,6530.0,73.0,52.6,92.9,41.2,0.473,91.2,46.7,,789.0,38.2,2.92,17000.0,2260.0,10700000
Bosnia and Herzegovina,5.117177963256836,10900.0,77.4,94.8,97.7,,7.9,98.0,32.7,1.01,2190.0,6.1,1.35,,3150.0,3540000
Botswana,3.761964797973633,15400.0,64.6,60.0,79.2,,,85.1,60.5,,1250.0,42.1,2.77,300000.0,2330.0,2210000
